#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
309.2031 5565.0 47
309.8125 5562.0 47
310.4219 5669.0 47
311.0313 5639.0 47
311.5156 5693.0 47
312.2500 5727.0 47
312.8438 5724.0 47
313.4531 5699.0 47
314.0625 5736.0 47
319.4688 561.0 47
319.9531 560.0 47
320.5625 564.0 47
321.0469 566.0 47
321.7813 571.0 47
322.5156 555.0 47
323.1094 554.0 47
323.5938 547.0 47
324.3281 548.0 47
324.8125 544.0 47
325.9063 614.0 47
326.5156 608.0 47
327.1094 594.0 47
329.2969 700.0 47
330.6563 515.0 47
331.0156 521.0 47
332.8125 689.0 47
333.4219 701.0 47
340.0625 1747.0 47
340.6719 1740.0 47
341.2813 1719.0 47
341.8906 1714.0 47
342.5000 1696.0 47
343.1250 1679.0 47
343.8438 1610.0 47
344.4531 1601.0 47
345.0469 1590.0 47
345.6563 1595.0 47
346.2500 1583.0 47
346.8594 1575.0 47
347.4688 1573.0 47
348.0625 1559.0 47
348.6719 1549.0 47
349.2813 1543.0 47
349.8750 1545.0 47
350.4844 1538.0 47
351.0781 1530.0 47
351.6875 1527.0 47
352.2969 1519.0 47
352.8906 1519.0 47
353.5000 1517.0 47
354.1094 1506.0 47
354.7031 1510.0 47
355.3125 1502.0 47
355.9063 1504.0 47
356.5156 1499.0 47
357.1250 1484.0 47
357.8438 1466.0 47
358.3281 1475.0 47
359.0625 1476.0 47
359.5313 1463.0 47
0.2656 1466.0 47
0.7344 1468.0 47
1.3438 1455.0 47
1.9531 1452.0 47
2.5469 1456.0 47
3.2813 1451.0 47
3.7656 1452.0 47
4.4844 1440.0 47
4.9688 1529.0 47
6.0625 1805.0 47
6.8906 3304.0 47
7.5000 3333.0 47
8.1094 3339.0 47
8.7188 3328.0 47
9.3125 3331.0 47
9.9219 3364.0 47
13.3281 1832.0 47
13.9375 1740.0 47
14.5469 1739.0 47
15.1406 1749.0 47
15.7500 1753.0 47
16.3594 1753.0 47
16.9688 1757.0 47
17.5781 1770.0 47
18.1719 1756.0 47
18.7813 1759.0 47
19.3906 1766.0 47
20.0000 1764.0 47
20.5938 1772.0 47
21.2031 1775.0 47
21.8125 1775.0 47
22.4219 1786.0 47
23.0313 1786.0 47
23.6406 1801.0 47
26.3125 3466.0 47
26.9219 3450.0 47
27.5313 3394.0 47
28.7500 3446.0 47
30.8438 1087.0 47
31.4531 1102.0 47
32.6719 1096.0 47
33.2969 1102.0 47
33.9063 1109.0 47
34.5156 1111.0 47
35.1250 1120.0 47
35.7344 1122.0 47
36.3438 1130.0 47
36.9531 1145.0 47
